"﻿""Key""",Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
49KMTI8P,book,2010,"Darnton, Robert","The case for books: past, present, and future",,978-1-58648-902-1,,,http://www.publicaffairsbooks.com/publicaffairsbooks-cgi-bin/display?book=9781586488260,"The era of the printed book is at a crossroad. E-readers are flooding the market, books are available to read on cell phones, and companies such as Google, Amazon, and Apple are competing to command near monopolistic positions as sellers and dispensers of digital information. Already, more books have been scanned and digitized than were housed in the great library in Alexandria. Is the printed book resilient enough to survive the digital revolution, or will it become obsolete? In this lasting collection of essays, Robert Darnton—an intellectual pioneer in the field of this history of the book—lends unique authority to the life, role, and legacy of the book in society.",2010,2025-11-07 11:50:12,2025-11-07 11:50:12,,,219,,,,,The case for books,,,,,PublicAffairs,New York,en,,,,,,,,,,,,goal_Dissemination; meta_GiveOverview; obj_Text; obj_Documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJE3BBNC,book,2014,"Hedges, Mark",Digital asset management handbook.,,978-1-85604-935-1,,,http://www.amazon.de/Digital-Asset-Management-Theory-Practice/dp/1856049353,"This practical handbook provides information professionals with everything they need to know to effectively manage digitial content and information. The book addresses digital asset management (DAM) from a practitioner's point of view but also introduces readers to the theoretical background to the subject. It will thus equip readers with a range of essential strategic, technical and practical skills required to direct digital asset management activities within their area of business, while also providing them a well-rounded and critical understanding of the issues across domains. The Digital Asset Management Handbook includes an evolving case study that serves to illustrate the topics and issues addressed in each chapter, as well as a sequence of practical exercises using freely available DAM software. Readership: Information professionals who work (or aim to work) in the digital content industries and managers of digital assets of various forms. Cultural and memory institutions, digital archives, and any areas of science, government and business organisation where there is a need to curate digital assets. Students taking LIS graduate courses worldwide.",2014,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,Facet Publishing,[S.l.],en,,,,,,,,,,,,goal_Dissemination; goal_Storage; obj_AnyObject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FGIR46J4,book,2012,,Literary Studies in the Digital Age: A Methodological Primer,,,,,,,2012,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,MLA Publications,New York,en,,,,,,,,,,,,meta_GiveOverview; X-CHECK; obj_Literature,"Price, Ken; Siemens, Ray",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PKYCSIZJ,book,2010,,Digitale Arbeitstechniken für die Geistes- und Kulturwissenschaften,,978-3-8252-3157-6,,,http://www.utb-shop.de/digitale-arbeitstechniken.html,"Möglichkeiten und Anwendungsgebiete digitaler Arbeitstechniken Das Buch vermittelt Kenntnisse und Kompetenzen für fortgeschrittene Studierende, Dozierende sowie Forschende in den Geisteswissenschaften im Umgang mit Neuen Medien, Open Access und Digitalen Publikationspraktiken. Es orientiert über Rechte und Pflichten im Umgang mit digitalen Texten und Bildern, behandelt die unterschiedlichen Situationen in den deutschsprachigen Ländern und weist weiterführende Literatur und Quellen zu diesen Themen nach.",2010,2025-11-07 11:50:12,2025-11-07 11:50:12,,,269,,,,,,,,,,UTB,Wien,de,,,,,,,,,,,,meta_GiveOverview; act_Publishing; X-CHECK; obj_Methods; t_Encoding; meta_Assessing,"Gasteiner, Martin; Haber, Peter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MM3RJN62,book,2006,,Electronic Textual Editing,,978-0-87352-970-9,,,http://www.tei-c.org/About/Archive_new/ETE/Preview/,,2006,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,MLA,New York,en,,,,,,,,,,,,meta_GiveOverview; act_Publishing; t_Encoding,"Burnard, Lou; O’Brien O’Keeffe, Katherine; Unsworth, John",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I5AHUWJP,book,2013,,Historyblogosphere. Bloggen in den Geschichtswissenschaften,,,,,http://www.degruyter.com/view/product/227082,"Das Buch- und Schreibprojekt „historyblogosphere. Bloggen in den Geschichtswissenschaften“ dokumentiert und reflektiert die historische Blogosphäre: Wozu betreibt man als Historiker/in ein Blog? Was sind überhaupt geschichtswissenschaftliche Blogs? Gibt es geschlechtsspezifische Nutzungsformen? Wie schreibt man für ein Blog und wieviel Technikwissen braucht es dafür? Welche Möglichkeiten der Vernetzung gibt es und wozu braucht es diese? Haben Blogs einen wissenschaftlichen Nutzen und welche „Grenzen im Kopf“ innerhalb der wissenschaftlichen Community gilt es aufzubrechen? Können Blogs die transnationale bzw. interdisziplinäre Betrachtung historischer Prozesse fördern und aktuelle Fragen in den öffentlichen Diskurs tragen? Kurz: Wo ist sie, die Geschichte-Blogosphäre und wo ist die Community? Als ein Novum in der deutschsprachigen Wissenschaftslandschaft entsteht dieses Buch in einem offenen Arbeitsprozess, indem es Tools und Prozesse des Netzes einsetzt und eine kooperative Arbeitsweise in den Entstehungsprozess einbezieht. Insbesondere fand ein Open Peer Review im Netz statt. Der Open Peer Review Prozess lief von 10. Oktober bis 10. Dezember 2012 und ist dokumentiert unter http://historyblogosphere.oldenbourg-verlag.de/open-peer-review/",2013,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,De Gruyter,Berlin,de,,,,,,,,,,,,goal_Dissemination; obj_Research; goal_Create,"Haber, Peter; Pfanzelter, Eva; Schreiner, Julia",,,,,,,,,,,,,,,,,,,Open Access Edition,,,,,,,,,,,,,,,,,,,,,,,,,,
SQFU9HGC,book,2017,"Jannidis, Fotis; Kohle, Hubertus; Rehbein, Malte",Digital Humanities. Eine Einführung,,,,,https://www.springer.com/de/book/9783476026224,"Computerbasierte Verfahren greifen in viele Bereiche der Geistes- und Kulturwissenschaften ein und spielen eine zunehmende Rolle in der universitären Bildung. Dieser Band bietet eine fundierte Einführung in die grundlegenden Konzepte, Methoden und Werkzeuge der Digital Humanities. Sie präsentiert Grundlagen wie Digitalisierung, Aufbau von Datensammlungen, Datenmodellierung und XML. Darüber hinaus behandelt sie Anwendungsgebiete wie Digitale Edition, Information Retrieval, Netzwerkanalyse, Geographische Informationssysteme, Simulation ebenso weiterführende Aspekte wie die Rolle der Bibliotheken, Archive und Museen sowie rechtliche und ethische Fragen.",2017,2025-11-07 11:50:12,2025-11-07 11:50:12,,,370,,,,,Digital Humanities,,,,,Metzler,,De,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WUD2NP7C,book,2019,"Veidlinger, Daniel",Digital Humanities and Buddhism. An introduction,,978-3-11-051908-2,,,https://www.degruyter.com/view/product/480584,"IDH Religion provides a series of short introductions to specific areas of study at the intersections of digital humanities and religion, offering an overview of current methodologies, techniques, tools, and projects as well as defining challenges and opportunities for further research. This volume explores DH and Buddhism in four sections: Theory and Method; Digital Conservation, Preservation and Archiving; Digital Analysis; Digital Resources. It covers themes such as language processing, digital libraries, online lexicography, and ethnographic methods.",2019,2025-11-07 11:50:12,2025-11-07 11:50:12,,,234,,,,,Digital Humanities and Buddhism.,,,,,De Gruyter,,En,,,,,,,,,,,,meta_GiveOverview; obj_DigitalHumanities; goal_Storage; goal_Analysis; obj_Methods; obj_Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPEKGC27,book,2016,"Loebel, Jens-Martin","Lost in Translation: Leistungsfähigkeit, Einsatz und Grenzen von Emulatoren bei der Langzeitbewahrung digitaler multimedialer Objekte",,978-3-86488-068-1,,,,"Die Erhaltung und das Einlesen von digitalen Objekten wird in absehbarer Zeit ein Problem werden, da sich diese Objekte auf digitalen Datenträgern befinden, welche wiederum an spezifische in sich geschlossene Hardwaresysteme gebunden sind. Mit genau dieser Thematik befasst sich der Autor des Buches. Sein Ziel ist es, die Emulation von digitalen Objekten als eine mögliche Methode der Langzeiterhaltung zu untersuchen und zu bewerten. Dabei geht er hauptsächlich auf die technischen Aspekte von Emulatoren, die darunterliegenden Originalsysteme und die Emulationsprozesse ein.",2016,2025-11-07 11:50:12,2025-11-07 11:50:12,,,184,,,,,,,,,,Verlag Werner Hülsbusch,Glückstadt,de,,,,,,,,,,,,act_Collaborating; act_Publishing; act_Conversion; obj_AnyObject,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBBEC33C,book,2013,"Rogers, Richard",Digital methods,,978-0-262-01883-8,,,http://www.amazon.com/Digital-Methods-Richard-Rogers/dp/0262018837,"In Digital Methods, Richard Rogers proposes a methodological outlook for social and cultural scholarly research on the Web that seeks to move Internet research beyond the study of online culture. It is not a toolkit for Internet research, or operating instructions for a software package; it deals with broader questions. How can we study social media to learn something about society rather than about social media use? How can hyperlinks reveal not just the value of a Web site but the politics of association? Rogers proposes repurposing Web-native techniques for research into cultural change and societal conditions. We can learn to reapply such ""methods of the medium"" as crawling and crowd sourcing, PageRank and similar algorithms, tag clouds and other visualizations; we can learn how they handle hits, likes, tags, date stamps, and other Web-native objects. By ""thinking along"" with devices and the objects they handle, digital research methods can follow the evolving methods of the medium. Rogers uses this new methodological outlook to examine the findings of inquiries into 9/11 search results, the recognition of climate change skeptics by climate-change-related Web sites, the events surrounding the Srebrenica massacre according to Dutch, Serbian, Bosnian, and Croatian Wikipedias, presidential candidates' social media ""friends,"" and the censorship of the Iranian Web. With Digital Methods, Rogers introduces a new vision and method for Internet research and at the same time applies them to the Web's objects of study, from tiny particles (hyperlinks) to large masses (social media).",2013,2025-11-07 11:50:12,2025-11-07 11:50:12,,,280,,,,,,,,,,MIT Press,"Cambridge, MA",en,,,,,,,,,,,,bigdata~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HLXVJ2EY,book,2004,"Semino, Elena","Corpus stylistics: speech, writing and thought presentation in a corpus of English writing",,978-0-415-28669-5 978-0-203-49407-3,,,,"""This book combines stylistic analysis with corpus linguistics in order to provide an account of the phenomenon of speech, writing and thought presentation - commonly referred to as 'speech reporting' or 'discourse presentation'."" ""Corpus Stylistics shows how stylistics, and text/discourse analysis more generally, can benefit from the use of a corpus methodology. This book will be essential reading for linguists interested in the areas of stylistics and corpus linguistics.""--BOOK JACKET.",2004,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,Corpus stylistics,,,,,Routledge,London; New York,en,,,,,,,,,,,,act_StylisticAnalysis; AnalyzeStatistically; act_StructuralAnalysis; AnalyzeQualitatively,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GJHMHRSA,book,2020,,Historia ludens: the playing historian,,978-1-000-69313-3 978-0-429-34561-6 978-1-000-69295-2 978-1-000-69331-7,,,,"""This book aims to further a debate about aspects of 'playing' and 'gaming' in connection with history. Reaching out to academics, professionals and students alike, it pursues a dedicated interdisciplinary approach. Rather than only focusing on how professionals could learn from academics in history, the book also ponders the question of what academics can learn from gaming and playing for their own practice, such as gamification for teaching, or using 'play' as a paradigm for novel approaches into historical scholarship. 'Playing' and 'gaming' are thus understood as a broad cultural phenomenon that cross-pollinates the theory and practice of history and gaming alike""--",2020,2025-11-07 11:50:12,2025-11-07 11:50:12,,,1,,,,,Historia ludens,Routledge approaches to history,vol. 30,,,Routledge,"New York, NY",,,,,,Library of Congress ISBN,D16.255.S5,,,,,,goal_Analysis; act_ContentAnalysis; obj_Games,"Lünen, Alexander von; Lewis, Katherine J.; Litherland, Benjamin; Cullum, P. H.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JSBJ9J6Q,book,2019,"De Santis, Annamaria; Rossi, Irene","Crossing Experiences in Digital Epigraphy, From Practice to Discipline",,978-3-11-060719-2,,,https://www.degruyter.com/viewbooktoc/product/506243#,,2019,2025-11-07 11:50:12,2025-11-07 11:50:12,2019-08-21 11:16:08,,,,,,,,,,,,De Gruyter,"Berlin, Boston",ENGL,,,,,DeGruyter,,DOI: 10.1515/9783110607208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QX5EPXP3,book,2016,,Stylometry Bibliography,,,,,https://www.zotero.org/groups/643516/,"The bibliography is based on contributions by Hugh Craig, Joseph Rudman, Patrick Juola as well as Mike Kestemont and Maciej Eder and has been curated by Christof Schöch. The scope of this bibliography is stylometry defined broadly as the quantitative analysis of literary style. There is a special focus on authorship attribution, but work in linguistic forensics and quantitative stylistics is also included. The scope is open with regard to time, place, type and language of publication. For more information, see: https://dragonfly.hypotheses.org/1093.",2016,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,Zotero,,,,,,,,,,,,,,,"Schöch, Christof",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6B2AWV3A,book,2016,"Jones, Steven E.","Roberto Busa, S. J., and the Emergence of Humanities Computing. The Priest and the Punched Cards",,978-1-138-18677-4,,,,,2016,2025-11-07 11:50:12,2025-11-07 11:50:12,2017-10-20,,186,,,,,,,,,,Routledge,London,,,,,,,,,,,,,obj_DigitalHumanities; act_Conceptualizing; act_RelationalAnalysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J9X48MRF,book,2006,"Deegan, Marilyn; Tanner, Simon",Digital preservation,,978-1-85604-485-1,,,http://www.amazon.de/Digital-Preservation-Futures-Marilyn-Deegan/dp/1856044858,"Digital preservation is an issue of huge importance to the library and information profession right now. With the widescale adoption of the internet and the rise of the world wide web, the world has been overwhelmed by digital information. Digital data is being produced on a massive scale by individuals and institutions: some of it is born, lives and dies only in digital form, and it is the potential death of this data, with its impact on the preservation of culture, that is the concern of this book. So how can information professionals try to remedy this? Digital preservation is a complex issue involving many different aspects and views, and each chapter of this edited collection is written by an international expert on the topic. Many case studies and examples are used to ground the ideas and theories in real concerns and practice. The book will arm the information professional with the knowledge they need about these important and pressing issues, and give examples of best practice to help find solutions. Its chapters cover: key issues in digital preservation; strategies for digital preservation; the status of preservation metadata in the digital library community; web archiving; the costs of digital preservation; it's money that matters in long-term preservation; European approaches to digital preservation; and, digital preservation projects: case studies. This is an indispensable guide for information managers, librarians and archivists worldwide. Others in the information and culture world, such as museum curators, media professionals and web content providers, will also find it essential reading, as will students of digital culture on library and information studies courses and within other disciplines.",2006,2025-11-07 11:50:12,2025-11-07 11:50:12,,,260,,,,,,Digital futures,,,,Facet,London,en,,,,,,,,,,,,goal_Storage; obj_AnyObject; bigdata~,,,,"Deegan, Marilyn; Tanner, Simon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YAEN8DDP,book,2013,"Mayer-Schönberger, Viktor; Cukier, Kenneth","Big data: a revolution that will transform how we live, work, and think",,978-0-544-00269-2,,,,"A revelatory exploration of the hottest trend in technology and the dramatic impact it will have on the economy, science, and society at large. Which paint color is most likely to tell you that a used car is in good shape? How can officials identify the most dangerous New York City manholes before they explode? And how did Google searches predict the spread of the H1N1 flu outbreak? The key to answering these questions, and many more, is big data. “Big data” refers to our burgeoning ability to crunch vast collections of information, analyze it instantly, and draw sometimes profoundly surprising conclusions from it. This emerging science can translate myriad phenomena—from the price of airline tickets to the text of millions of books—into searchable form, and uses our increasing computing power to unearth epiphanies that we never could have seen before. A revolution on par with the Internet or perhaps even the printing press, big data will change the way we think about business, health, politics, education, and innovation in the years to come. It also poses fresh threats, from the inevitable end of privacy as we know it to the prospect of being penalized for things we haven’t even done yet, based on big data’s ability to predict our future behavior. In this brilliantly clear, often surprising work, two leading experts explain what big data is, how it will change our lives, and what we can do to protect ourselves from its hazards. Big Data is the first big book about the next big thing. www.big-data-book.com",2013,2025-11-07 11:50:12,2025-11-07 11:50:12,,,242,,,,,Big data,,,,,Houghton Mifflin Harcourt,Boston,en,,,,,,,,,,,,AnalyzeStatistically; bigdata~; meta_Assessing,,,,"Cukier, Kenneth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VRPIVCC3,book,2011,"Hughes, Lorna","Evaluating and measuring the value, use and impactof digital collections",,978-1-85604-720-3,,,http://www.facetpublishing.co.uk/title.php?id=7203,This book brings together a group of international experts to consider the following key issues:     What is the role of digital resources in the research life cycle?     Do the arts and humanities face a ‘data deluge’?     How are digital collections to be sustained over the long term?     How is use and impact to be assessed?     What is the role of digital collections in the ‘digital economy’?     How is public engagement with digital cultural heritage materials to be assessed and supported?,2011,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,Facet Publishing,[S.l.],en,,,,,,,,,,,,bigdata~,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7RTPW6D9,book,2015,"Hahn, Helene; Kalman, Tibor; Kolbmann, Wibke; Kollatz, Thomas; Neuschäfer, Steffen; Pielström, Steffen; Puhl, Johanna; Stiller, Juliane; Tonne, Danah",DH-Handbuch /Version 1.0,,978-3-7375-6818-0,,,https://handbuch.tib.eu/w/DH-Handbuch,"Ziel dieses Buchs ist, einen konzentrierten Überblick über das Feld der Digital Humanities (DH) anzubieten. Für Einsteiger und mögliche AntragstellerInnen stellen sich häufig die folgenden Fragen:     Was sind die Digital Humanities?     Was sind relevante Forschungsfragen?     Mithilfe welcher Tools lassen sich fachspezifische, aber auch fächerübergreifende Fragen beantworten?     Was müssen Geisteswissenschaftler beim Umgang mit Daten beachten?     Wie sehen erfolgreiche Projekte in den Digital Humanities aus?  Neben Lösungswegen und Ressourcen zu typischen Fragen werden auch Projekte und Werkzeuge detailliert vorgestellt, um vorhandene Kenntnisse aufzufrischen und neue Aspekte der Digital Humanities kennenzulernen. Die Nähe zur fachwissenschaftlichen Praxis steht dabei im Vordergrund. Wir hoffen, mit diesem Handbuch auch Einsteigern die Digital Humanities nahebringen zu können und die Neugierde auf digitale Methoden und deren Möglichkeiten für die geisteswissenschaftliche Forschung zu wecken.",2015,2025-11-07 11:50:12,2025-11-07 11:50:12,,,131,,,,,,,,,,DARIAH-DE,Göttingen,de,https://creativecommons.org/licenses/by/4.0/deed.de,,,,,,pdf: http://bit.do/DH-Handbuch,,,,,obj_DigitalHumanities; act_Communicating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLPSIYJM,book,2010,"Schmale, Wolfgang",Digitale Geschichtswissenschaft,,978-3-205-78553-8,,,http://www.boehlau-verlag.com/978-3-205-78553-8.html,"Digitale Geschichtswissenschaft ist mehr als nur der Einsatz digitaler Techniken und Medien, sie ist mehr als EDV, Web oder Internet. Sie eröffnet neue Forschungs- und Darstellungsmöglichkeiten, sie antwortet auf die liquiden Eigenschaften unserer gegenwärtigen Netzwerkzivilisation. Digitale Geschichtswissenschaft ersetzt dabei nicht die traditionelle monographische Geschichtswissenschaft, sondern verhilft dieser zu einer Renaissance im Feld der großen historischen Erzählung, die nicht obsolet ist. Digitale Geschichtswissenschaft gewinnt ihr Profil aus den vielfältigen Möglichkeiten der semantischen Techniken und der Forschungsvernetzung, sie stellt auch dem Nichthistoriker Techniken des Geschichtelernens von hoher Qualität zur Verfügung. Geschichte passiert auch im Netz - Geschichtswissenschaft wird wieder spannend.",2010,2025-11-07 11:50:12,2025-11-07 11:50:12,,,149,,,,,,,,,,Böhlau,Wien,de,,,,,,,,,,,,meta_GiveOverview; obj_DigitalHumanities; X-CHECK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22WEJ7QL,book,2011,"Lima, Manuel",Visual Complexity: Mapping Patterns of Information,,978-1-56898-936-5,,,http://www.amazon.de/exec/obidos/ASIN/1568989369/visualcompl0f-20/,"Several researchers, scientists and designers across the globe are trying to make sense of a variety of complex networks employing an innovative mix of colors, symbols, graphics, algorithms, and interactivity to clarify, and often beautify, the clutter. By doing this they are in many ways creating the syntax of a new language. This book can be seen as the first dictionary of this new lexicon. In Visual Complexity: Mapping Patterns of Information, Manuel Lima collects and presents almost three hundred of the most compelling examples of information design — everything from representing networks of followers on Twitter and the eighty-five recorded covers of Joy Division’s “Love Will Tear Us Apart” to depicting interconnections between members of the Al Queda network and interactions among proteins in a human cell. Lima also looks at the long tradition of mapping complex networks, offering the first book to integrate a thorough history of network vizualization with an examination of the real-life situations from which these graphics are generated.",2011,2025-11-07 11:50:12,2025-11-07 11:50:12,,,272,,,,,Visual Complexity,,,,,Princeton Univ. Press,"Princeton, N.J.",en,,,,,,,,,,,,meta_GiveOverview; act_Visualizing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VV3YE4HW,book,2008,"Conolly, James",Geographical Information Systems in archaeology,,978-0-521-79330-8,,,http://ebooks.cambridge.org/ebook.jsf?bid=CBO9780511807459,"Geographical Information Systems has moved from the domain of the computer specialist into the wider archaeological community, providing it with an exciting new research method. This clearly written but rigorous book provides a comprehensive guide to that use. Topics covered include: the theoretical context and the basics of GIS; data acquisition including database design; interpolation of elevation models; exploratory data analysis including spatial queries; statistical spatial analysis; map algebra; spatial operations including the calculation of slope and aspect, filtering and erosion modeling; methods for analysing regions; visibility analysis; network analysis including hydrological modeling; the production of high quality output for paper and electronic publication; and the use and production of metadata. Offering an extensive range of archaeological examples, it is an invaluable source of practical information for all archaeologists, whether engaged in cultural resource management or academic research. This is essential reading for both the novice and the advanced user.",2008,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,,,,,,Cambridge University Press,Cambridge,en,,,,,,,DOI: http://dx.doi.org/10.1017/CBO9780511807459,,,,,meta_GiveOverview; obj_Artefacts; act_Visualizing; obj_Architecture,,,,,,,,,,,,,,,,,,,,3rd printing.,,,,,,,,,,,,,,,,,,,,,,,,,,
N2D8DG59,book,2006,"Hennermann, Karl",Kartographie und GIS : eine Einführung,,978-3-534-19692-0,,,http://www.wbg-wissenverbindet.de/shop/de/wbg/kartographie-und-gis-b243952-001,"Diese neuartige Einführung entspricht in ihrem Aufbau dem Grundkurs Kartographie und Datenverarbeitung, wie er für nahezu alle Geowissenschaftler verpflichtend angeboten wird. Das Buch erläutert kompakt aber umfassend, wie Karten Informationen speichern und wiedergeben. Darüber hinaus wird die technische Seite der Kartenherstellung, soweit sie für die Geowissenschaften erforderlich ist, gleich mitbehandelt. Anhand von Beispielen und Übungsaufgaben lernt der Leser, eigene Daten zu verarbeiten und Karten zu erstellen. Technische Basis ist die Software ESRI ArcGIS 9, die im universitären Bereich überall eingesetzt wird und als Testversion für Übungszwecke umsonst angefordert werden kann. Zusätzliche Übungsdateien können aus dem Internet geladen werden.",2006,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,Kartographie und GIS,,,,,Wiss. Buchges.,Darmstadt,de,,,,,,,,,,,,meta_GiveOverview; obj_Artefacts; obj_Maps; act_Visualizing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRSH64T3,book,2010,,Eine kleine Enzyklopädie der digitalen Langzeitarchivierung,,,,,http://www.nestor.sub.uni-goettingen.de/handbuch/index.php,"nestor ist ein vom BMBF gefördertes Projekt zum Aufbau eines Kompetenznetzwerkes zur Langzeitarchivierung digitaler Objekte in Deutschland. Die nestor Informationsdatenbank ist Bestandteil eines Subject Gateways zu Fragen der Langzeitarchivierung digitaler Objekte., The project's objective is to create a network of expertise in digital preservation for Germany. The subject gateway offers informations on all topics of long time preservation of digital objects",2010,2025-11-07 11:50:12,2025-11-07 11:50:12,2012-09-16 17:50:03,,,,,,,,,,,,nestor,,de,"(c) 2004 Niedersächsische Staats- und Universitätsbibliothek Göttingen, Germany",,,,,,,,,,,meta_GiveOverview; goal_Storage; act_Archiving; obj_Data; bigdata~,"Neuroth, HeikeKarsten; Huth, Karsten; Oßwald, Achim; Scheffel, Regine; Strathmann, Stefan",,,,,,,,,,,,,,,,,,,Versio 2.3,,,,,,,,,,,,,,,,,,,,,,,,,,
5C6SZDLV,book,2013,"Aiden, Erez; Michel, Jean-Baptiste",Uncharted: big data as a lens on human culture,,978-1-59448-745-3,,,,"""One of the most exciting developments from the world of ideas in decades, presented with panache by two frighteningly brilliant, endearingly unpretentious, and endlessly creative young scientists."" - Steven Pinker, author of The Better Angels of Our Nature Our society has gone from writing snippets of information by hand to generating a vast flood of 1s and 0s that record almost every aspect of our lives: who we know, what we do, where we go, what we buy, and who we love. This year, the world will generate 5 zettabytes of data. (That's a five with twenty-one zeros after it.) Big data is revolutionizing the sciences, transforming the humanities, and renegotiating the boundary between industry and the ivory tower. What is emerging is a new way of understanding our world, our past, and possibly, our future. In Uncharted, Erez Aiden and Jean-Baptiste Michel tell the story of how they tapped into this sea of information to create a new kind of telescope: a tool that, instead of uncovering the motions of distant stars, charts trends in human history across the centuries. By teaming up with Google, they were able to analyze the text of millions of books. The result was a new field of research and a scientific tool, the Google Ngram Viewer, so groundbreaking that its public release made the front page of The New York Times, The Wall Street Journal, and The Boston Globe, and so addictive that Mother Jones called it ""the greatest timewaster in the history of the internet."" Using this scope, Aiden and Michel-and millions of users worldwide-are beginning to see answers to a dizzying array of once intractable questions. How quickly does technology spread? Do we talk less about God today? When did people start ""having sex"" instead of ""making love""? At what age do the most famous people become famous? How fast does grammar change? Which writers had their works most effectively censored by the Nazis? When did the spelling ""donut"" start replacing the venerable ""doughnut""? Can we predict the future of human history? Who is better known-Bill Clinton or the rutabaga? All over the world, new scopes are popping up, using big data to quantify the human experience at the grandest scales possible. Yet dangers lurk in this ocean of 1s and 0s-threats to privacy and the specter of ubiquitous government surveillance. Aiden and Michel take readers on a voyage through these uncharted waters""--",2013,2025-11-07 11:50:12,2025-11-07 11:50:12,,,288,,,,,Uncharted,,,,,Riverhead Books,New York,eng,,,,,,,,,,,,obj_Text; goal_Analysis; obj_Data; bigdata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XCVELFV5,book,2006,"Adolphs, Svenja",Introducing electronic text analysis : a practical guide for language and literary studies,,978-0-415-32021-4,,,http://www.routledge.com/textbooks/0415320216,"Introducing Electronic Text Analysis is a practical and much needed introduction to corpora - bodies of linguistic data. Written specifically for students studying this topic for the first time, the book begins with a discussion of the underlying principles of electronic text analysis. It then examines how these corpora enhance our understanding of literary and non-literary works. In the first section the author introduces the concepts of concordance and lexical frequency, concepts which are then applied to a range of areas of language study. Key areas examined are the use of on-line corpora to complement traditional stylistic analysis, and the ways in which methods such as concordance and frequency counts can reveal a particular ideology within a text. Presenting an accessible and thorough understanding of the underlying principles of electronic text analysis, the book contains abundant illustrative examples and a glossary with definitions of main concepts. It will also be supported by a companion website with links to on-line corpora so that students can apply their knowledge to further study. The accompanying website to this book can be found at http://www.routledge.com/textbooks/0415320216",2006,2025-11-07 11:50:12,2025-11-07 11:50:12,,,,,,,,Introducing electronic text analysis,,,,,Routledge,London & New York,eng,,,,,,,,,,,,meta_GiveOverview; goal_Analysis; act_ContentAnalysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
